['休宁', '29℃']
['桃江', '27℃']
['扬州', '20℃']
['政和', '30℃']
['金山', '25℃']
['亭湖', '19℃']
['武昌', '24℃']
['江华', '32℃']
['万州', '25℃']
['绿园', '10℃']
['江南', '31℃']
['遂溪', '31℃']
['海港', '15℃']
['宕昌', '15℃']
['港北', '31℃']
['庐阳', '20℃']
['江门', '31℃']
['长葛', '13℃']
['崇义', '32℃']
{'exc_type': 'IndexError', 'exc_message': ['list index out of range'], 'exc_module': 'builtins'}
['铁力', '9℃']
['荔城', '32℃']
['沙坪坝', '23℃']
['长海', '13℃']
['曲阳', '16℃']
['零陵', '32℃']
['临湘', '27℃']
['呼和浩特', '10℃']
['夏邑', '16℃']
['马村', '15℃']
['清水河', '12℃']
['黑山', '14℃']
['白下', '21℃']
['江岸', '24℃']
['淇县', '16℃']
['石拐', '11℃']
['龙圩', '29℃']
['水城', '18℃']
['江州', '29℃']
['新兴', '9℃']
['磴口', '13℃']
['宜州', '31℃']
['西安', '10℃']
{'exc_type': 'IndexError', 'exc_message': ['list index out of range'], 'exc_module': 'builtins'}
['金湾', '31℃']
['保靖', '26℃']
['锡山', '23℃']
['福州', '31℃']
['茶陵', '31℃']
['随州', '17℃']
['蓬江', '30℃']
['嘉禾', '33℃']
['香河', '17℃']
['武清', '15℃']
['涞水', '17℃']
['港闸', '21℃']
['韶关', '31℃']
['梁子湖', '29℃']
['兰西', '11℃']
['杜集', '17℃']
['北辰', '14℃']
['宜秀', '23℃']
['禹会', '14℃']
['龙山', '10℃']
['康县', '14℃']
['梅河口', '10℃']
['资兴', '33℃']
['大悟', '19℃']
['靖江', '21℃']
['安化', '26℃']
['管城回族', '14℃']
['临夏州', '12℃']
['仙桃', '25℃']
['滦平', '12℃']
['西乡塘', '16℃']
['咸安', '28℃']
['渑池', '12℃']
['临武', '31℃']
['红古', '13℃']
['揭阳', '31℃']
['泗县', '18℃']
['克什克腾', '9℃']
['秦安', '15℃']
['益阳', '28℃']
['临洮', '9℃']
['赤坎', '31℃']
['邵武', '31℃']
['带岭', '9℃']
['华池', '13℃']
['湛江', '31℃']
['瑞金', '33℃']
['普定', '20℃']
['鹤山', '16℃']
['明山', '11℃']
['金阊', '24℃']
['务川', '22℃']
['洪泽', '17℃']
['阳山', '31℃']
['黄山', '25℃']
['蕉岭', '30℃']
['安龙', '21℃']
['射阳', '19℃']
['清河', '16℃']
['邗江', '20℃']
['江浦', '20℃']
['赤城', '10℃']
['乌当', '23℃']
['南宁', '31℃']
['临泉', '18℃']
['德安', '30℃']
['恩施州', '22℃']
['饶阳', '16℃']
['塘沽', '14℃']
['高要', '31℃']
['乌后旗', '7℃']
['唐山', '17℃']
['乌伊岭', '9℃']
['鼎城', '28℃']
['三都', '28℃']
['奉新', '33℃']
['阿拉善左旗', '12℃']
['金门', '31℃']
['袁州区', '32℃']
['濉溪', '17℃']
['弋阳', '33℃']
['兴安', '32℃']
['玉州', '30℃']
['霸州', '17℃']
['松溪', '31℃']
['古田', '30℃']
['建瓯', '32℃']
['茄子河', '9℃']
['都匀', '25℃']
['南山', '31℃']
['新洲', '29℃']
['昆山', '24℃']
['南汇', '24℃']
['淮南', '15℃']
['永新', '34℃']
['呼玛', '10℃']
['同江', '10℃']
['资溪', '33℃']
['隆化', '9℃']
['东丽', '15℃']
['葫芦岛', '14℃']
['容县', '16℃']
['郧阳', '20℃']
['珠海', '30℃']
['萧县', '17℃']
['溧阳', '22℃']
['立山', '12℃']
['龙子湖', '19℃']
['独山', '25℃']
['洛江', '33℃']
['顺河回族', '14℃']
['桦甸', '10℃']
['渝中', '21℃']
['彰武', '12℃']
['西陵', '24℃']
['洛阳', '12℃']
['福安', '31℃']
['西和', '14℃']
['普宁', '31℃']
['开平', '17℃']
['抚顺', '10℃']
['泰州', '20℃']
['德化', '26℃']
['伊通', '10℃']
['托克托', '10℃']
['东湖', '31℃']
['赣榆', '17℃']
['秀山', '25℃']
['石狮', '33℃']
['越秀', '31℃']
