【龙族吧入吧指南】,http://tieba.baidu.com/p/6130697136,21,周翡,无,无
完全不能接受老贼居然说夏弥被三代种吊打白月光被鞭尸就算了还为,http://tieba.baidu.com/p/6243170920,82,圣之天使,君临者,19:41
整天车轴车轴的，江南跟车轴杠了吧,http://tieba.baidu.com/p/6244613122,179,剑圣苇...,临扬,19:40
龙族最烂结局大猜想龙族终会完结为了不被雷到，先打个预防针你们,http://tieba.baidu.com/p/6243674087,249,泷遇叶,雨羽,19:40
逝者安息🙏🕯🕯🕯,http://tieba.baidu.com/p/6244124130,112,FarTu,奶粉,19:40
还打你🐴的车轴呢,http://tieba.baidu.com/p/6244947320,72,星辰在...,相对路,19:40
明妃为什么不对提前楚子航说不要死,http://tieba.baidu.com/p/6244347944,24,关羽的,抬杠者,19:39
【有一说一】,http://tieba.baidu.com/p/6243067141,20,伊叶,imbaddw,19:39
我感觉虽然龙五差但是之前的外传还是没什么可表的吧？,http://tieba.baidu.com/p/6243591666,11,凛绪老公,这家伙说...,19:38
我很淡定,http://tieba.baidu.com/p/6245362617,3,青面兽杨...,桃花酿酒,19:38
龙族1+2绝版了，在淘宝找书才知道，贵的300一本还真有人买,http://tieba.baidu.com/p/6236245932,66,永远的枫泾,阿宾606,19:37
那么问题来了，如果《龙族》拍成电视剧，还有原著粉看吗？,http://tieba.baidu.com/p/6244361965,12,王也正是...,恰烂钱的...,19:37
报不得了！不得了！豆瓣3.0了！,http://tieba.baidu.com/p/6245091553,24,长门有希...,莉里即安,19:37
今日份的快乐源泉，在这个吧里全都get到了自从没有夏弥以后我,http://tieba.baidu.com/p/6245427500,0,桃花酿酒,桃花酿酒,19:36
恺撒，只能帮你到这里了。,http://tieba.baidu.com/p/6243962797,56,咸鱼永不...,风间琉璃qp,19:36
这还屠什么龙啊？直接开启星际时代啊？我大美利坚到底是有多厉害,http://tieba.baidu.com/p/6234932406,77,Acclector,scarlet佣兵,19:35
微博是某些书粉至于这么卑微？看着真觉得恶心，囡囡估计现在抱着,http://tieba.baidu.com/p/6244439659,125,Aegean钢琴声,角度360012,19:35
江南这是嫌龙族热度低故意写个爆点吗？,http://tieba.baidu.com/p/6244189437,291,Ruler,Oo修o0,19:34
龙族吧这是咋了,http://tieba.baidu.com/p/6245064452,2,紫露微尘,Meatxc,19:34
想统计一下各位罂粟花多少是先天多少是后天的,http://tieba.baidu.com/p/6239580684,29,M1887,星羽千雪,19:34
路明非也是？？？,http://tieba.baidu.com/p/6245382463,3,永爱轻井...,蚩灵吸红...,19:34
一个次代种和一车死侍凯撒就号称世界暗面?蛇崎八族，卡塞尔学院,http://tieba.baidu.com/p/6241116814,215,指间翻涌...,动了啊少年,19:33
？？？？江南你biss,http://tieba.baidu.com/p/6244072586,141,EVOLT,寒月...,19:33
知道我最气愤的是什么呢不是楚师兄(虽然现在这个是个五岁zz，,http://tieba.baidu.com/p/6243971553,53,圣之天使,是道白呀,19:32
话说这剧情我还真想看,http://tieba.baidu.com/p/6236680717,69,无语的翔88,动了啊少年,19:32
今天这事未必全是因为报复,http://tieba.baidu.com/p/6244254200,108,妖艳堕落...,临扬,19:32
官博都发疯了,http://tieba.baidu.com/p/6222336894,511,源稚生,桃花酿酒,19:32
我赌五毛下一章师兄归来,http://tieba.baidu.com/p/6244171104,17,幻丶鳞,此间少年,19:30
就我一个觉得师兄死了挺好的吗？不用降智当什么15岁初中生，还,http://tieba.baidu.com/p/6244299472,12,Kesia王座,331469758,19:30
我哭了,http://tieba.baidu.com/p/6244301969,135,眾生皆苦,破旧的帆船,19:30
“什么嘛，我的言灵还蛮强的嘛。。。”“师兄。。。”“你怎么发,http://tieba.baidu.com/p/6244610648,5,进击的菲兹,看穿一切...,19:29
江南写死楚子航,http://tieba.baidu.com/p/6244114841,232,王美味,奶油瓶盖,19:29
该不该表扬一下老贼努力的想要去圆夏弥bug的决心,http://tieba.baidu.com/p/6241962899,57,龙王,动了啊少年,19:29
我真的笑了，楚子航最后人都这样了，路明非想的居然不是怎么过去,http://tieba.baidu.com/p/6244809421,18,啝哑,imbaddw,19:14
OK，杨治NB，TM我之前还TM觉得你TM不背全锅，读者也有,http://tieba.baidu.com/p/6244354726,20,彼岸未安,超级会员,18:55
求科普青面兽杨志,http://tieba.baidu.com/p/6242225376,18,雪愿降临,堕落的白...,19:24
老贼报仇来了，师兄跪了？,http://tieba.baidu.com/p/6243913842,318,梦醒之殇灭,绛疯子,19:24
说来丢脸，关于龙族5，我........,http://tieba.baidu.com/p/6227196625,78,背后的匿笑,贴吧用户_...,19:24
你们在哪里看的龙族5啊？,http://tieba.baidu.com/p/6245393416,4,Jzvsy,mc西门飞雪,19:19
江南的枯燥生活,http://tieba.baidu.com/p/6244265391,58,雪中刀,lifezyc666,19:19
今天看了蜘蛛侠2，同样是衰小孩，路明非你看看人家彼得！,http://tieba.baidu.com/p/6244576673,18,多罗罗之...,我是小营...,19:19
好喜欢楚子航他爹啊,http://tieba.baidu.com/p/6236658530,128,三儿我挺你,神秘的鲲鹏,19:18
工具人到期了,http://tieba.baidu.com/p/6245411334,0,雨夜静思...,雨夜静思...,19:18
我现在最担心的是上海堡垒票房大卖,http://tieba.baidu.com/p/6207696793,354,诗酒趁年...,zhangwk男神,19:14
楚子航被写死看大家都这么激动，还上了微博热搜，我去看完了内心,http://tieba.baidu.com/p/6244350167,47,梦你眉...,亚蕾斯塔,18:56
原来江南带歪了这么多人的三观？,http://tieba.baidu.com/p/6244154059,51,薄暮,哀悼home,18:55
你们应该爱看这个,http://tieba.baidu.com/p/6233002084,361,哭泣,闲言乀碎雨,19:13
这张贴献在给砍车轴道路上英勇牺牲的楚师兄,http://tieba.baidu.com/p/6244924322,14,耕作火冒...,路零成,19:10
好久没看更新的了，看了下微博。南狗把师兄写死了？,http://tieba.baidu.com/p/6244075627,16,温不胜乀,紫水青龙,19:10
可能我水晚了，但这真是我学校发的通知,http://tieba.baidu.com/p/6241835468,82,我爱汪燕...,崇皇,19:09
